"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"839","Voyageur Academy (82940)","6-Year",2010,79,76,-1,4,0.9494,0.0506,2012,2006
"840","Weston Preparatory Academy (82943)","6-Year",2010,55,47,-1,9,0.8364,0.1636,2012,2006
"841","Allen Park Public Schools (82020)","4-Year",2013,314,274,21,19,0.8726,0.0605,2013,2009
"842","Allen Park Public Schools (82020)","5-Year",2012,369,324,5,40,0.878,0.1057,2013,2008
"843","Allen Park Public Schools (82020)","6-Year",2011,360,324,2,34,0.9,0.0917,2013,2007
"844","Crestwood School District (82230)","4-Year",2013,295,272,17,6,0.922,0.0203,2013,2009
"845","Crestwood School District (82230)","5-Year",2012,284,266,0,18,0.9331,0.0599,2013,2008
"846","Crestwood School District (82230)","6-Year",2011,273,254,4,15,0.9304,0.0549,2013,2007
"847","Dearborn City School District (82030)","4-Year",2013,1489,1284,108,97,0.8617,0.0651,2013,2009
"848","Dearborn City School District (82030)","5-Year",2012,1372,1203,27,142,0.8761,0.1028,2013,2008
"849","Dearborn City School District (82030)","6-Year",2011,1333,1118,19,196,0.838,0.147,2013,2007
"850","Dearborn Heights School District #7 (82040)","4-Year",2013,200,139,32,29,0.695,0.14,2013,2009
"851","Dearborn Heights School District #7 (82040)","5-Year",2012,189,158,3,28,0.8307,0.1481,2013,2008
"852","Dearborn Heights School District #7 (82040)","6-Year",2011,155,130,1,24,0.8387,0.1548,2013,2007
"853","Detroit City School District (82010)","4-Year",2013,4130,2666,528,936,0.6455,0.2264,2013,2009
"854","Detroit City School District (82010)","5-Year",2012,5522,3986,247,1289,0.7217,0.2334,2013,2008
"855","Detroit City School District (82010)","6-Year",2011,6575,4637,196,1742,0.7052,0.2648,2013,2007
"856","Ecorse Public Schools (82250)","4-Year",2013,136,82,21,33,0.5956,0.2426,2013,2009
"857","Ecorse Public Schools (82250)","5-Year",2012,139,96,12,31,0.6906,0.223,2013,2008
"858","Ecorse Public Schools (82250)","6-Year",2011,138,87,-1,52,0.6232,0.3768,2013,2007
"859","Flat Rock Community Schools (82180)","4-Year",2013,156,138,8,10,0.8846,0.0641,2013,2009
"860","Flat Rock Community Schools (82180)","5-Year",2012,122,111,2,9,0.9098,0.0656,2013,2008
"861","Flat Rock Community Schools (82180)","6-Year",2011,129,118,1,10,0.9147,0.0775,2013,2007
"862","Garden City Public Schools (82050)","4-Year",2013,610,400,105,105,0.6541,0.1705,2013,2009
"863","Garden City Public Schools (82050)","5-Year",2012,602,447,45,110,0.7425,0.1827,2013,2008
"864","Garden City Public Schools (82050)","6-Year",2011,566,423,15,128,0.7456,0.2244,2013,2007
"865","Gibraltar School District (82290)","4-Year",2013,291,242,40,9,0.8316,0.0275,2013,2009
"866","Gibraltar School District (82290)","5-Year",2012,284,267,2,15,0.9401,0.0528,2013,2008
"867","Gibraltar School District (82290)","6-Year",2011,231,207,2,22,0.8918,0.0952,2013,2007
"868","Grosse Ile Township Schools (82300)","4-Year",2013,156,151,3,2,0.9679,0.0128,2013,2009
"869","Grosse Ile Township Schools (82300)","5-Year",2012,165,164,1,0,0.9939,0,2013,2008
"870","Grosse Ile Township Schools (82300)","6-Year",2011,178,174,-1,5,0.9775,0.0225,2013,2007
"871","Grosse Pointe Public Schools (82055)","4-Year",2013,733,690,28,15,0.9413,0.0191,2013,2009
"872","Grosse Pointe Public Schools (82055)","5-Year",2012,732,702,14,16,0.9577,0.0205,2013,2008
"873","Grosse Pointe Public Schools (82055)","6-Year",2011,745,715,6,24,0.9597,0.0309,2013,2007
"874","Hamtramck, School District of the City of (82060)","4-Year",2013,318,171,44,103,0.5346,0.3208,2013,2009
"875","Hamtramck, School District of the City of (82060)","5-Year",2012,222,138,12,72,0.6216,0.3243,2013,2008
"876","Hamtramck, School District of the City of (82060)","6-Year",2011,247,163,3,81,0.6559,0.3279,2013,2007
"877","Harper Woods, The School District of the City of (82320)","4-Year",2013,200,116,51,33,0.58,0.165,2013,2009
"878","Harper Woods, The School District of the City of (82320)","5-Year",2012,196,155,18,23,0.7908,0.1173,2013,2008
"879","Harper Woods, The School District of the City of (82320)","6-Year",2011,151,124,1,26,0.8146,0.1656,2013,2007
"880","Highland Park City Schools (82070)","4-Year",2013,37,3,0,34,0.0541,0.8919,2013,2009
"881","Highland Park City Schools (82070)","5-Year",2012,153,76,1,76,0.4902,0.4902,2013,2008
"882","Highland Park City Schools (82070)","6-Year",2011,276,112,-1,165,0.4022,0.5978,2013,2007
"883","Huron School District (82340)","4-Year",2013,203,181,14,8,0.8867,0.0345,2013,2009
"884","Huron School District (82340)","5-Year",2012,189,173,6,10,0.9153,0.0529,2013,2008
"885","Huron School District (82340)","6-Year",2011,197,179,0,18,0.9036,0.0863,2013,2007
"886","Lincoln Park, School District of the City of (82090)","4-Year",2013,354,270,43,41,0.7627,0.113,2013,2009
"887","Lincoln Park, School District of the City of (82090)","5-Year",2012,314,263,13,38,0.8344,0.121,2013,2008
"888","Lincoln Park, School District of the City of (82090)","6-Year",2011,309,252,6,51,0.8155,0.165,2013,2007
"889","Livonia Public Schools School District (82095)","4-Year",2013,1467,1322,93,52,0.9005,0.0354,2013,2009
"890","Livonia Public Schools School District (82095)","5-Year",2012,1425,1294,76,55,0.9074,0.0379,2013,2008
"891","Livonia Public Schools School District (82095)","6-Year",2011,1477,1352,51,74,0.9147,0.0501,2013,2007
"892","Melvindale-North Allen Park Schools (82045)","4-Year",2013,200,184,13,3,0.92,0.015,2013,2009
"893","Melvindale-North Allen Park Schools (82045)","5-Year",2012,200,188,2,10,0.94,0.05,2013,2008
"894","Melvindale-North Allen Park Schools (82045)","6-Year",2011,194,185,-1,10,0.9536,0.0464,2013,2007
"895","Northville Public Schools (82390)","4-Year",2013,559,530,20,9,0.9481,0.0161,2013,2009
"896","Northville Public Schools (82390)","5-Year",2012,505,483,17,5,0.9545,0.0099,2013,2008
"897","Northville Public Schools (82390)","6-Year",2011,592,566,20,6,0.9544,0.0101,2013,2007
"898","Plymouth-Canton Community Schools (82100)","4-Year",2013,1653,1453,130,70,0.879,0.0423,2013,2009
"899","Plymouth-Canton Community Schools (82100)","5-Year",2012,1572,1404,71,97,0.8925,0.0611,2013,2008
"900","Plymouth-Canton Community Schools (82100)","6-Year",2011,1607,1455,30,122,0.9048,0.0753,2013,2007
"901","Redford Union Schools, District No. 1 (82110)","4-Year",2013,300,177,78,45,0.5867,0.1467,2013,2009
"902","Redford Union Schools, District No. 1 (82110)","5-Year",2012,319,221,20,78,0.6897,0.2414,2013,2008
"903","Redford Union Schools, District No. 1 (82110)","6-Year",2011,314,237,9,68,0.7516,0.2134,2013,2007
"904","River Rouge, School District of the City of (82120)","4-Year",2013,122,88,19,15,0.7213,0.1148,2013,2009
"905","River Rouge, School District of the City of (82120)","5-Year",2012,132,88,5,39,0.6591,0.2879,2013,2008
"906","River Rouge, School District of the City of (82120)","6-Year",2011,85,51,0,34,0.6,0.4,2013,2007
"907","Riverview Community School District (82400)","4-Year",2013,234,224,4,6,0.953,0.0214,2013,2009
"908","Riverview Community School District (82400)","5-Year",2012,201,191,0,10,0.9453,0.0448,2013,2008
"909","Riverview Community School District (82400)","6-Year",2011,210,201,2,7,0.9524,0.0333,2013,2007
"910","Romulus Community Schools (82130)","4-Year",2013,273,188,56,29,0.685,0.1062,2013,2009
"911","Romulus Community Schools (82130)","5-Year",2012,336,259,29,48,0.7708,0.1399,2013,2008
"912","Romulus Community Schools (82130)","6-Year",2011,438,305,29,104,0.6963,0.2374,2013,2007
"913","School District of the City of Inkster (82080)","4-Year",2013,291,209,30,52,0.7182,0.1753,2013,2009
"914","School District of the City of Inkster (82080)","5-Year",2012,373,278,13,82,0.7453,0.2198,2013,2008
