"","ENROLL_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","COHORT_GRAD_YEAR","GRAD_RATE","DROP_RATE"
"330",2004,48219,2,160,127,35,2008,0.79375,0.21875
"331",2005,48219,2,184,144,32,2009,0.782608695652174,0.173913043478261
"332",2006,48219,2,193,163,26,2010,0.844559585492228,0.134715025906736
"333",2007,48219,1,152,133,12,2011,0.875,0.0789473684210526
"334",2008,48219,1,183,165,17,2012,0.901639344262295,0.092896174863388
"335",2009,48219,1,161,145,14,2013,0.900621118012422,0.0869565217391304
"336",2010,48219,1,177,141,26,2014,0.796610169491525,0.146892655367232
"337",2011,48219,1,203,166,19,2015,0.817733990147783,0.0935960591133005
"338",2003,48220,1,11,3,7,2007,0.272727272727273,0.636363636363636
"339",2004,48220,1,28,6,14,2008,0.214285714285714,0.5
"340",2005,48220,1,57,7,45,2009,0.12280701754386,0.789473684210526
"341",2006,48220,1,60,11,41,2010,0.183333333333333,0.683333333333333
"342",2007,48220,1,47,8,20,2011,0.170212765957447,0.425531914893617
"343",2003,48221,1,20,18,2,2007,0.9,0.1
"344",2004,48221,1,31,21,9,2008,0.67741935483871,0.290322580645161
"345",2005,48221,1,29,19,9,2009,0.655172413793103,0.310344827586207
"346",2006,48221,1,18,13,5,2010,0.722222222222222,0.277777777777778
"347",2007,48221,2,31,17,7,2011,0.548387096774194,0.225806451612903
"348",2008,48221,1,24,17,8,2012,0.708333333333333,0.333333333333333
"349",2009,48221,1,18,13,6,2013,0.722222222222222,0.333333333333333
"350",2003,48223,1,102,89,12,2007,0.872549019607843,0.117647058823529
"351",2004,48223,1,112,103,7,2008,0.919642857142857,0.0625
"352",2005,48223,1,137,109,26,2009,0.795620437956204,0.18978102189781
"353",2006,48223,1,117,95,18,2010,0.811965811965812,0.153846153846154
"354",2007,48223,1,135,112,23,2011,0.82962962962963,0.17037037037037
"355",2008,48223,1,135,112,19,2012,0.82962962962963,0.140740740740741
"356",2009,48223,1,120,107,12,2013,0.891666666666667,0.1
"357",2010,48223,1,111,92,14,2014,0.828828828828829,0.126126126126126
"358",2011,48223,1,105,93,12,2015,0.885714285714286,0.114285714285714
"359",2003,48225,2,134,123,13,2007,0.917910447761194,0.0970149253731343
"360",2004,48225,2,118,106,14,2008,0.898305084745763,0.11864406779661
"361",2005,48225,2,127,113,10,2009,0.889763779527559,0.078740157480315
"362",2006,48225,2,131,114,15,2010,0.870229007633588,0.114503816793893
"363",2007,48225,3,356,303,50,2011,0.851123595505618,0.140449438202247
"364",2008,48225,3,391,318,62,2012,0.813299232736573,0.158567774936061
"365",2009,48225,3,454,307,129,2013,0.676211453744493,0.284140969162996
"366",2010,48225,3,466,305,112,2014,0.65450643776824,0.240343347639485
"367",2011,48225,2,483,280,113,2015,0.579710144927536,0.233954451345756
"368",2010,48226,1,10,0,2,2014,0,0.2
"369",2011,48226,1,12,3,4,2015,0.25,0.333333333333333
"370",2003,48229,1,143,83,59,2007,0.58041958041958,0.412587412587413
"371",2004,48229,1,140,78,57,2008,0.557142857142857,0.407142857142857
"372",2005,48229,1,126,77,47,2009,0.611111111111111,0.373015873015873
"373",2006,48229,1,149,92,51,2010,0.61744966442953,0.342281879194631
"374",2007,48229,1,138,87,52,2011,0.630434782608696,0.376811594202899
"375",2008,48229,1,142,100,35,2012,0.704225352112676,0.246478873239437
