Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
"Redford Union Schools, District No. 1 (82110)",5-Year,2013,325,209,<10,48,66,64.31%,20.31%
"Redford Union Schools, District No. 1 (82110)",6-Year,2012,342,225,<10,35,82,65.79%,23.98%
"River Rouge, School District of the City of (82120)",4-Year,2014,179,132,<10,18,28,73.74%,15.64%
"River Rouge, School District of the City of (82120)",5-Year,2013,115,92,<10,<10,23,80.00%,20.00%
"River Rouge, School District of the City of (82120)",6-Year,2012,131,87,<10,<10,42,66.41%,32.06%
Riverview Community School District (82400),4-Year,2014,231,222,<10,<10,<10,96.10%,1.30%
Riverview Community School District (82400),5-Year,2013,228,223,<10,<10,<10,97.81%,2.19%
Riverview Community School District (82400),6-Year,2012,200,189,<10,<10,10,94.50%,5.00%
Romulus Community Schools (82130),4-Year,2014,284,203,<10,42,36,71.48%,12.68%
Romulus Community Schools (82130),5-Year,2013,278,195,11,19,53,70.14%,19.06%
